F1-Scores
FileName#ServiceCode	Controller	DataProtectionOfficer	RightToInformation	RightToRectificationOrDeletion	RightToDataPortability	RightToWithdrawConsent	RightToComplain	AutomatedDecisionMaking	ChangesOfPurpose	Insgesamt
alexa.de#A	0,25	0	0	1	0	0	1	0	0	0,14634146
alexa.de#C	0	0	0	1	0	0	1	0	0	0,1
alexa.de#G	0	0	0	1	0	0	1	0	0	0,1
alexa.de#I	0,25	0	0	1	0	0	1	0	0	0,14634146
alexa.de#M	0,25	0	0	1	0	0	1	0	0	0,14634146
alexa.de#T	0,25	0	0	1	0	0	1	0	0	0,14634146
amazon.de#A	0,25	0	0,4	0,4	0,4	0,4	0	0,5	0	0,21052632
amazon.de#C	0,25	0	0,4	0,4	0,4	0,4	0	0,5	0	0,21052632
amazon.de#G	0,25	0	0,4	0,4	0,4	0,4	0	0,5	0	0,21052632
amazon.de#I	0,25	0,33333334	0,4	0,4	0,4	0,4	0	0,5	0	0,23728813
amazon.de#M	0,25	0,33333334	0,4	0,4	0,4	0,4	0	0,5	0	0,23728813
amazon.de#T	0,25	0,33333334	0,4	0,4	0,4	0,4	0	0,5	0	0,2413793
ardmediathek.de#A	0	0	0,4	0,4	0,4	0,4	0,5	0	NaN	0,2857143
ardmediathek.de#C	0	0,33333334	0,6666667	0,6666667	0,4	0,6666667	0,8	0	NaN	0,5
ardmediathek.de#G	0	0	0,4	0,4	0,4	0,4	0,36363637	0	NaN	0,22222222
ardmediathek.de#I	0	0,33333334	0,6666667	0,6666667	0,4	0,6666667	0,8	0	NaN	0,5
ardmediathek.de#M	0	0,33333334	0,6666667	0,6666667	0,4	0,6666667	0,8	0	NaN	0,5
ardmediathek.de#T	0	0,33333334	0,6666667	0,6666667	0,4	0,6666667	0,8	0	NaN	0,5
bahn.de#A	0,25	0	0,4	0,4	0,4	0,4	0,36363637	0	0	0,25
bahn.de#C	0,25	0	0,4	0,4	0,4	0,4	0,36363637	0	0	0,25
bahn.de#G	0,25	0	0,4	0,4	0,4	0,4	0,36363637	0	0	0,25
bahn.de#I	0,25	0,33333334	0,4	0,4	0,4	0,4	0,36363637	0	0	0,27586207
bahn.de#M	0,25	0,33333334	0,4	0,4	0,4	0,4	0,36363637	0	0	0,27586207
bahn.de#T	0,25	0,33333334	0,4	0,4	0,4	0,4	0,36363637	0	0	0,28070176
beiersdorf.de#A	0	0,33333334	0,6666667	0,6666667	0,4	0,6666667	0,2	0	NaN	0,31578946
beiersdorf.de#C	0	0,33333334	0,6666667	0,6666667	0,4	0,6666667	0,2	0	NaN	0,31578946
beiersdorf.de#G	0,44444445	0	0,6666667	0,6666667	0,4	0,6666667	0,2	0	NaN	0,3448276
beiersdorf.de#I	0	0	0,6666667	0,6666667	0,4	0,6666667	0,2	0	NaN	0,2857143
beiersdorf.de#M	0	0	0,6666667	0,6666667	0,4	0,6666667	0,2	0	NaN	0,2857143
beiersdorf.de#T	0	0,33333334	0,6666667	0,6666667	0,4	0,6666667	0,2	0	NaN	0,31578946
bmjv.de#A	0	0	0,4	0,4	0,4	0,4	0	0,5	NaN	0,18867925
bmjv.de#C	0,25	0,33333334	0,4	0,4	0,4	0,4	0	0,5	NaN	0,25454545
bmjv.de#G	0,25	0	0,4	0,4	0,4	0,4	0	0,5	NaN	0,22222222
bmjv.de#I	0	0,33333334	0,4	0,4	0,4	0,4	0	0,5	NaN	0,22222222
bmjv.de#M	0	0,33333334	0,4	0,4	0,4	0,4	0	0,5	NaN	0,22222222
bmjv.de#T	0	0,33333334	0,4	0,4	0,4	0,4	0	0,5	NaN	0,22222222
bnpparibas.de#A	0,25	0	0	0,4	0	0,4	0,2	0,8	0	0,21818182
bnpparibas.de#C	0,25	0	0	0,4	0	0,4	0,2	0,8	0	0,21818182
bnpparibas.de#G	0,25	0	0	0,4	0	0,4	0,2	0,8	0	0,21818182
bnpparibas.de#I	0,25	0,33333334	0	0,4	0	0,4	0,2	0,8	0	0,25
bnpparibas.de#M	0,25	0,33333334	0	0,4	0	0,4	0,2	0,8	0	0,25
bnpparibas.de#T	0,25	0,33333334	0	0,4	0	0,4	0,2	0,8	0	0,25
bundestag.de#A	0,25	0,33333334	0	0,6666667	0,4	0,4	0,2	0,5	NaN	0,2857143
bundestag.de#C	0	0,5714286	0	0,6666667	0,6666667	0,4	0,2	0,5	NaN	0,31578946
bundestag.de#G	0	0,33333334	0	0,6666667	0,4	0,4	0,2	0,5	NaN	0,25454545
bundestag.de#I	0	0,33333334	0	0,6666667	0,6666667	0,4	0,2	0,5	NaN	0,2857143
bundestag.de#M	0	0	0	0,6666667	0,6666667	0,4	0,2	0,5	NaN	0,25454545
bundestag.de#T	0,25	0	0	0,6666667	0,6666667	0,4	0,2	0,5	NaN	0,2857143
bvg.de#A	0	0	0,4	0,4	0,4	0,4	0,2	0	0	0,18518518
bvg.de#C	0	0,33333334	0,6666667	0,6666667	0,6666667	0,6666667	0,2	0	0	0,33898306
bvg.de#G	0,25	0	0,4	0,4	0,4	0,4	0,2	0	0	0,21818182
bvg.de#I	0	0,33333334	0,6666667	0,6666667	0,6666667	0,6666667	0,2	0	0	0,33333334
bvg.de#M	0	0,33333334	0,6666667	0,6666667	0,6666667	0,6666667	0,2	0	0	0,33333334
bvg.de#T	0	0,33333334	0,6666667	0,6666667	0,6666667	0,6666667	0,2	0	0	0,33898306
caritas.de#A	0	0	0,6666667	0,4	0,4	0,4	0,2	0	0	0,21818182
caritas.de#C	0	0,33333334	0,6666667	0,4	0,4	0,4	0,2	0	0	0,25
caritas.de#G	0	0	0,6666667	0,4	0,4	0,4	0,2	0	0	0,21818182
caritas.de#I	0	0,33333334	0,6666667	0,4	0,4	0,4	0,2	0	0	0,25
caritas.de#M	0	0,33333334	0,6666667	0,4	0,4	0,4	0,2	0	0	0,2413793
caritas.de#T	0	0,33333334	0,6666667	0,4	0,4	0,4	0,2	0	0	0,24561404
carrefour.com#A	0	0,33333334	0,4	0,4	0	0,6666667	0,36363637	0,5	NaN	0,3272727
carrefour.com#C	0	0	0,4	0,4	0	0,6666667	0,2	0,5	NaN	0,23076923
carrefour.com#G	0	0	0,4	0,4	0	0,6666667	0,2	0,5	NaN	0,23076923
carrefour.com#I	0	0,33333334	0,4	0,4	0	0,6666667	0,2	0,5	NaN	0,26415095
carrefour.com#M	0	0	0,4	0,4	0	0,6666667	0,2	0,5	NaN	0,23076923
carrefour.com#T	0	0	0,4	0,4	0	0,6666667	0,36363637	0,5	NaN	0,2962963
cdu.de#A	0,44444445	0	0,6666667	0,6666667	0,4	0,4	0,2	0,5	NaN	0,3448276
cdu.de#C	0,44444445	0,33333334	0,6666667	0,6666667	0,4	0,4	0,2	0,5	NaN	0,37288135
cdu.de#G	0,44444445	0	0,6666667	0,6666667	0,4	0,4	0,2	0,5	NaN	0,3448276
