FileName	Usefulness	ORGANIZATION	COMMERCIALITEM	DATE	EVENT	LOCATION	OTHER	PERSON	QUANTITY	TITLE	PERSONTYPE	PRODUCT	SKILL	ADDRESS	PHONENUMBER	EMAILADDRESS	URL	IPADDRESS	UNKNOWN	WORKOFART	CONSUMERGOOD	NUMBER	PRICE	COMPANY	DURATION	FACILITY	GEOGRAPHICFEATURE	HASHTAG	JOBTITLE	MEASURE	MONEY	ORDINAL	PERCENT	TIME	TWITTERHANDLE
alexa.de#A	Useful	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
""	Useless	4	2	1	0	2	3	1	33	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
alexa.de#C	Useful	2	0	0	0	0	5	1	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
""	Useless	10	0	1	1	2	35	18	0	0	0	0	0	0	0	0	0	0	0	2	8	22	2	0	0	0	0	0	0	0	0	0	0	0	0	
alexa.de#G	Useful	2	0	0	0	0	14	2	0	0	0	0	0	0	0	0	0	0	0	1	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0	
""	Useless	13	0	1	9	8	229	27	0	0	0	0	0	0	0	0	0	0	0	4	16	27	2	0	0	0	0	0	0	0	0	0	0	0	0	
alexa.de#I	Useful	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
""	Useless	13	0	0	0	1	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	1	1	2	6	0	1	0	
alexa.de#M	Useful	2	0	0	0	0	0	1	0	0	0	1	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
""	Useless	7	0	2	0	4	0	1	25	0	14	16	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
alexa.de#T	Useful	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
""	Useless	6	0	1	0	2	0	2	5	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	
amazon.de#A	Useful	7	0	0	0	0	2	0	6	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
""	Useless	18	1	1	0	7	9	0	31	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
amazon.de#C	Useful	10	0	0	1	1	61	8	0	0	0	0	0	0	0	0	0	0	0	4	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
""	Useless	28	0	1	3	9	86	19	0	0	0	0	0	2	0	0	0	0	0	0	8	21	0	0	0	0	0	0	0	0	0	0	0	0	0	
amazon.de#G	Useful	13	0	0	4	3	192	10	0	0	0	0	0	0	0	0	0	0	0	4	19	6	0	0	0	0	0	0	0	0	0	0	0	0	0	
""	Useless	34	0	1	7	10	281	24	0	0	0	0	0	2	0	0	0	0	0	3	16	26	1	0	0	0	0	0	0	0	0	0	0	0	0	
amazon.de#I	Useful	8	0	0	0	1	0	5	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	
""	Useless	30	0	1	0	6	0	21	0	0	0	0	0	0	0	1	2	0	0	0	0	21	0	0	0	4	1	0	5	0	0	5	0	0	0	
amazon.de#M	Useful	10	0	0	2	4	0	2	1	0	10	9	76	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
""	Useless	15	0	2	4	9	0	0	22	0	27	13	87	2	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
amazon.de#T	Useful	8	0	0	1	1	2	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
