alexa.de#A	alexa.de#A
meta	0,27272728
controller	1
dataProtectionOfficer	
dataDisclosed	0,5
thirdCountryTransfers	
accessAndDataPortability	
sources	
rightToInformation	
rightToRectificationOrDeletion	
rightToDataPortability	
rightToWithdrawConsent	
rightToComplain	
automatedDecisionMaking	
changesOfPurpose	
Overall:	0,44

alexa.de#C	alexa.de#C
meta	0,2
controller	1
dataProtectionOfficer	
dataDisclosed	0,7894737
thirdCountryTransfers	
accessAndDataPortability	
sources	
rightToInformation	
rightToRectificationOrDeletion	
rightToDataPortability	
rightToWithdrawConsent	
rightToComplain	
automatedDecisionMaking	
changesOfPurpose	
Overall:	0,61290324

alexa.de#G	alexa.de#G
meta	0,2
controller	1
dataProtectionOfficer	
dataDisclosed	0,93333334
thirdCountryTransfers	
accessAndDataPortability	
sources	
rightToInformation	
rightToRectificationOrDeletion	
rightToDataPortability	
rightToWithdrawConsent	
rightToComplain	
automatedDecisionMaking	
changesOfPurpose	
Overall:	0,80701756

alexa.de#I	alexa.de#I
meta	0,2
controller	1
dataProtectionOfficer	
dataDisclosed	0,45454547
thirdCountryTransfers	
accessAndDataPortability	
sources	
rightToInformation	
rightToRectificationOrDeletion	
rightToDataPortability	
rightToWithdrawConsent	
rightToComplain	
automatedDecisionMaking	
changesOfPurpose	
Overall:	0,39130434

alexa.de#M	alexa.de#M
meta	0,33333334
controller	1
dataProtectionOfficer	
dataDisclosed	0,8333333
thirdCountryTransfers	
accessAndDataPortability	
sources	
rightToInformation	
rightToRectificationOrDeletion	
rightToDataPortability	
rightToWithdrawConsent	
rightToComplain	
automatedDecisionMaking	
changesOfPurpose	
Overall:	0,68421054

alexa.de#T	alexa.de#T
meta	0,27272728
controller	1
dataProtectionOfficer	
dataDisclosed	0,5714286
thirdCountryTransfers	
accessAndDataPortability	
sources	
rightToInformation	
rightToRectificationOrDeletion	
rightToDataPortability	
rightToWithdrawConsent	
rightToComplain	
automatedDecisionMaking	
changesOfPurpose	
Overall:	0,46153846

amazon.de#A	amazon.de#A
meta	0
controller	0,8333333
dataProtectionOfficer	1
dataDisclosed	0,9
thirdCountryTransfers	
accessAndDataPortability	0
sources	
rightToInformation	0
rightToRectificationOrDeletion	0
rightToDataPortability	0
rightToWithdrawConsent	0
rightToComplain	0
automatedDecisionMaking	1
changesOfPurpose	1
Overall:	0,6875

amazon.de#C	amazon.de#C
meta	0
controller	1
dataProtectionOfficer	1
dataDisclosed	0,9767442
thirdCountryTransfers	
accessAndDataPortability	1
sources	
rightToInformation	1
rightToRectificationOrDeletion	1
rightToDataPortability	1
rightToWithdrawConsent	1
rightToComplain	1
automatedDecisionMaking	1
changesOfPurpose	1
Overall:	0,93037975

amazon.de#G	amazon.de#G
meta	0
controller	0,9230769
dataProtectionOfficer	1
dataDisclosed	0,9895288
thirdCountryTransfers	
accessAndDataPortability	1
sources	
rightToInformation	1
rightToRectificationOrDeletion	1
rightToDataPortability	1
rightToWithdrawConsent	1
rightToComplain	1
automatedDecisionMaking	1
changesOfPurpose	1
Overall:	0,96938777

amazon.de#I	amazon.de#I
meta	0
controller	1
dataProtectionOfficer	1
dataDisclosed	0,85
thirdCountryTransfers	
accessAndDataPortability	0
sources	
rightToInformation	0
rightToRectificationOrDeletion	0
rightToDataPortability	0
rightToWithdrawConsent	0
rightToComplain	1
automatedDecisionMaking	1
changesOfPurpose	0
Overall:	0,63265306

amazon.de#M	amazon.de#M
meta	0,22222222
controller	1
dataProtectionOfficer	1
dataDisclosed	0,97938144
thirdCountryTransfers	
accessAndDataPortability	1
sources	
rightToInformation	1
rightToRectificationOrDeletion	1
rightToDataPortability	1
rightToWithdrawConsent	1
rightToComplain	1
automatedDecisionMaking	1
changesOfPurpose	1
Overall:	0,9505494

amazon.de#T	amazon.de#T
meta	0
controller	1
dataProtectionOfficer	1
dataDisclosed	0,8
thirdCountryTransfers	
accessAndDataPortability	0
sources	
rightToInformation	0
rightToRectificationOrDeletion	0
rightToDataPortability	0
rightToWithdrawConsent	0
rightToComplain	1
automatedDecisionMaking	1
changesOfPurpose	0
Overall:	0,59090906

ardmediathek.de#A	ardmediathek.de#A
meta	0,27272728
controller	0,9230769
dataProtectionOfficer	0,85714287
dataDisclosed	0,65486723
thirdCountryTransfers	
accessAndDataPortability	
sources	
rightToInformation	0,8888889
rightToRectificationOrDeletion	0,33333334
rightToDataPortability	
rightToWithdrawConsent	0,5
rightToComplain	0,9375
automatedDecisionMaking	
changesOfPurpose	
Overall:	0,6896552

ardmediathek.de#C	ardmediathek.de#C
meta	0,27272728
controller	0,9230769
dataProtectionOfficer	0,8333333
dataDisclosed	0,71153843
thirdCountryTransfers	
accessAndDataPortability	
sources	
rightToInformation	1
rightToRectificationOrDeletion	1
rightToDataPortability	
rightToWithdrawConsent	1
rightToComplain	0,9166667
automatedDecisionMaking	
changesOfPurpose	
Overall:	0,75301206

ardmediathek.de#G	ardmediathek.de#G
meta	0,5
controller	0,8666667
dataProtectionOfficer	0,75
dataDisclosed	0,9137056
thirdCountryTransfers	
accessAndDataPortability	
sources	
rightToInformation	0,96153843
rightToRectificationOrDeletion	0,8
rightToDataPortability	
rightToWithdrawConsent	0,875
rightToComplain	0,8181818
automatedDecisionMaking	
changesOfPurpose	
Overall:	0,88395905

ardmediathek.de#I	ardmediathek.de#I
meta	0,2
controller	0,8888889
dataProtectionOfficer	0,8
dataDisclosed	0,31506848
thirdCountryTransfers	
accessAndDataPortability	
sources	
rightToInformation	0,8333333
rightToRectificationOrDeletion	0,33333334
rightToDataPortability	
rightToWithdrawConsent	0,5
rightToComplain	0,9
automatedDecisionMaking	
changesOfPurpose	
Overall:	0,44915253

ardmediathek.de#M	ardmediathek.de#M
meta	0,27272728
controller	0,9
dataProtectionOfficer	0,8
dataDisclosed	0,74545455
thirdCountryTransfers	
accessAndDataPortability	
sources	
rightToInformation	1
rightToRectificationOrDeletion	1
rightToDataPortability	
rightToWithdrawConsent	1
rightToComplain	0,90909094
automatedDecisionMaking	
changesOfPurpose	
Overall:	0,76785713

ardmediathek.de#T	ardmediathek.de#T
meta	0,2
controller	0,9
dataProtectionOfficer	0,8
dataDisclosed	0,44444445
thirdCountryTransfers	
accessAndDataPortability	
sources	
rightToInformation	0,8333333
rightToRectificationOrDeletion	0,33333334
rightToDataPortability	
rightToWithdrawConsent	0,5
rightToComplain	0,8888889
automatedDecisionMaking	
changesOfPurpose	
Overall:	0,52991456

bahn.de#A	bahn.de#A
meta	0,27272728
controller	1
dataProtectionOfficer	1
dataDisclosed	0
thirdCountryTransfers	1
accessAndDataPortability	0
sources	
rightToInformation	0
rightToRectificationOrDeletion	0
rightToDataPortability	0
rightToWithdrawConsent	0
rightToComplain	0
automatedDecisionMaking	
changesOfPurpose	0
Overall:	0,4875

bahn.de#C	bahn.de#C
meta	0,45454547
controller	1
dataProtectionOfficer	1
dataDisclosed	0,4117647
thirdCountryTransfers	1
accessAndDataPortability	0
sources	
rightToInformation	1
rightToRectificationOrDeletion	1
rightToDataPortability	1
rightToWithdrawConsent	1
rightToComplain	1
automatedDecisionMaking	
changesOfPurpose	1
Overall:	0,745283

bahn.de#G	bahn.de#G
meta	0,45454547
controller	1
dataProtectionOfficer	1
dataDisclosed	0,8414634
thirdCountryTransfers	1
accessAndDataPortability	0
sources	
rightToInformation	1
rightToRectificationOrDeletion	1
rightToDataPortability	1
